"소매업",악기,740,95,14.0,14.0,0.06
"소매업",인테리어,4410,262,13.8,14.9,0.06
"소매업",조명용품,10990,1493,13.8,52.1,0.14
"소매업",중고차판매,960,181,7.9,52.1,0.04
"소매업",자동차부품,3598,558,11.7,26.1,0.06
"소매업",모터사이클및부품,805,86,9.1,16.9,0.06
"소매업",재생용품 판매점,1301,80,11.3,19.1,0.03
"소매업",예술품,2287,116,8.3,7.5,0.07
"소매업",주유소,766,336,13.5,27.1,0.01
"소매업",전자상거래업,33256,313,3.8,13.5,0.08
